"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"295.0",2,456111,"0.09054420093573011","0.09054420093573011","0.0","0.35035731300619344","0.0639545247479649","2.3240386423310482E-11","0.15374523910283538","OriTR388","43.607134623301064","41.4458432210731","45.35326032730971","72.6567769670303","5048900.0","322900.0","3999400.0","726600.0","0.506055601431324","0.493944398568676","0.0","0.15369285"
"305.0",2,456111,"0.09504552441764219","0.09504552441764219","0.0","0.34799549744566627","0.06501703625090767","2.1798975492947502E-11","0.16044367445287452","OriTR388","44.50245798736626","42.18567339972547","45.35326032730971","72.47611596749806","5370900.0","349200.0","4216000.0","805700.0","0.49882090107980637","0.5011790989201936","0.0","0.16043115"
"315.0",2,456111,"0.09862009290463612","0.09862009290463612","0.0","0.3431310410394549","0.06581490984499666","2.054651826835768E-11","0.16699588012867544","OriTR388","45.413132623445875","42.97297283400722","47.365601001827976","72.46061210884808","5690200.0","374500.0","4428000.0","887700.0","0.487890052945815","0.512109947054185","0.0","0.16684505"
"325.0",2,456111,"0.10271723560394032","0.10271723560394032","0.0","0.3396240163217721","0.0663999601600239","1.9363230237817924E-11","0.17289877491509753","OriTR388","46.309206973943496","43.77342751205331","47.365601001827976","72.58029885802597","6024100.0","400000.0","4651700.0","972400.0","0.4793294940353764","0.5206705059646236","0.0","0.17289375"
"335.0",2,456111,"0.10651685393258427","0.10651685393258427","0.0","0.33380281690140845","0.06737360586048409","1.818359438273188E-11","0.17854139334611632","OriTR388","47.188675845813925","44.50894982499239","47.365601001827976","72.77155887712608","6374900.0","429500.0","4883900.0","1061500.0","0.46886481394253415","0.5311351860574659","0.0","0.17853645"
"345.0",2,456111,"0.11009136039380919","0.11009136039380919","0.0","0.3272569444444444","0.06854485207803979","1.7058814667289286E-11","0.18369332865392593","OriTR388","48.071382266973266","45.22251587278676","50.30848806986961","73.09195335998199","6729900.0","461300.0","5117100.0","1151500.0","0.4583586626139818","0.5416413373860183","0.0","0.18373235"
"355.0",2,456111,"0.11365719523373052","0.11365719523373052","0.0","0.3213175169872164","0.06911118621155796","1.6068016252060542E-11","0.18844920433230472","OriTR388","48.939365480787785","45.99766706878186","50.30848806986961","73.45500913325264","7101600.0","490800.0","5365000.0","1245800.0","0.44790496066784397","0.5520950393321561","0.0","0.18844065"
"365.0",2,456111,"0.11621938846559372","0.11621938846559372","0.0","0.31324396782841823","0.07012802846860827","1.5104812562951337E-11","0.1929014343879034","OriTR388","49.813734289972324","46.72216584496075","52.22146759312055","73.91339196502027","7474900.0","524200.0","5609900.0","1340800.0","0.43571002386634844","0.5642899761336515","0.0","0.19262055"
"375.0",2,456111,"0.11839319360540781","0.11839319360540781","0.0","0.30626601678307624","0.07065348751415232","1.4222372984568421E-11","0.19638628430634453","OriTR388","50.67939307273287","47.49843429236237","53.15671620260899","74.47535935136135","7860900.0","555400.0","5870800.0","1434700.0","0.42482749006760995","0.57517250993239","0.0","0.19623125000000002"
"385.0",2,456111,"0.11969222000569962","0.11969222000569962","0.0","0.29722589167767505","0.07129199341659405","1.3372829484582024E-11","0.1994370675388645","OriTR388","51.532675621928554","48.249112003434384","54.07526293192378","75.08004104151122","8263200.0","589100.0","6143600.0","1530500.0","0.41163018621365566","0.5883698137863443","0.0","0.19923195"
"395.0",2,456111,"0.12024305039393489","0.12024305039393489","0.0","0.2881378573336896","0.07223825464619647","1.2542746936361114E-11","0.20156273329020058","OriTR388","52.39627296106677","48.97077663560903","54.997449758338504","75.8257759810552","8663000.0","625800.0","6417200.0","1620000.0","0.39944444444444444","0.6005555555555555","0.0","0.20158185000000006"
"405.0",2,456111,"0.12036936052641146","0.12036936052641146","0.0","0.27994081589515957","0.07262995254386934","1.1821481077456905E-11","0.203191755227362","OriTR388","53.2678866287012","49.765543283050505","55.91609737760307","76.63752794706282","9061000.0","658100.0","6695500.0","1707400.0","0.38784116200070284","0.6121588379992972","0.0","0.20324015000000006"
"415.0",2,456111,"0.11910498529568082","0.11910498529568082","0.0","0.2704997183551943","0.07351806235397351","1.1106356632372202E-11","0.20425629029497347","OriTR388","54.14451614389644","50.50399239091887","55.91609737760307","77.53638600946529","9458900.0","695400.0","6973500.0","1790000.0","0.37558659217877094","0.624413407821229","0.0","0.2041660500000001"
