"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
427.0,1,510102448,"0.8097121511755658","0.8097121511755658","0.0"
428.0,1,510102448,"0.8101709776413853","0.8101709776413853","0.0"
429.0,1,510102448,"0.8096385542168675","0.8096385542168675","0.0"
430.0,1,510102448,"0.8098052090172905","0.8098052090172905","0.0"
431.0,1,510102448,"0.8099300087489064","0.8099300087489064","0.0"
432.0,1,510102448,"0.8107578397212544","0.8107578397212544","0.0"
433.0,1,510102448,"0.8082935301780286","0.8082935301780286","0.0"
434.0,1,510102448,"0.8088330807534099","0.8088330807534099","0.0"
435.0,1,510102448,"0.8092048401037165","0.8092048401037165","0.0"
436.0,1,510102448,"0.8094929881337648","0.8094929881337648","0.0"
437.0,1,510102448,"0.8096572537184739","0.8096572537184739","0.0"
438.0,1,510102448,"0.8097392803275156","0.8097392803275156","0.0"
439.0,1,510102448,"0.8098212362696532","0.8098212362696532","0.0"
440.0,1,510102448,"0.8098621877691645","0.8098621877691645","0.0"
441.0,1,510102448,"0.809903121636168","0.809903121636168","0.0"
442.0,1,510102448,"0.8109207708779443","0.8109207708779443","0.0"
443.0,1,510102448,"0.8078071672354948","0.8078071672354948","0.0"
444.0,1,510102448,"0.808379413015738","0.808379413015738","0.0"
445.0,1,510102448,"0.8088266496923403","0.8088266496923403","0.0"
446.0,1,510102448,"0.8090697181606272","0.8090697181606272","0.0"
447.0,1,510102448,"0.8092314207071777","0.8092314207071777","0.0"
448.0,1,510102448,"0.8093121693121693","0.8093121693121693","0.0"
449.0,1,510102448,"0.8093525179856115","0.8093525179856115","0.0"
450.0,1,510102448,"0.8095137420718816","0.8095137420718816","0.0"
451.0,1,510102448,"0.8095942519019442","0.8095942519019442","0.0"
452.0,1,510102448,"0.8105550883095037","0.8105550883095037","0.0"
453.0,1,510102448,"0.807837384744342","0.807837384744342","0.0"
454.0,1,510102448,"0.8084795321637427","0.8084795321637427","0.0"
455.0,1,510102448,"0.8088786994581075","0.8088786994581075","0.0"
456.0,1,510102448,"0.8092365300603287","0.8092365300603287","0.0"
457.0,1,510102448,"0.8095139177399252","0.8095139177399252","0.0"
